date,px_last
1996-01-31,636.02
1996-02-29,640.43
1996-03-31,645.5
1996-04-30,654.17
1996-05-31,669.12
1996-06-30,670.63
1996-07-31,639.95
1996-08-31,651.99
1996-09-30,687.31
1996-10-31,705.27
1996-11-30,757.02
1996-12-31,740.74
1997-01-31,786.16
1997-02-28,790.82
1997-03-31,757.12
1997-04-30,801.34
1997-05-31,848.28
1997-06-30,885.14
1997-07-31,954.29
1997-08-31,899.47
1997-09-30,947.28
1997-10-31,914.62
1997-11-30,955.4
1997-12-31,970.43
1998-01-31,980.28
1998-02-28,1049.34
1998-03-31,1101.75
1998-04-30,1111.75
1998-05-31,1090.82
1998-06-30,1133.84
1998-07-31,1120.67
1998-08-31,957.28
1998-09-30,1017.01
1998-10-31,1098.67
1998-11-30,1163.63
1998-12-31,1229.23
1999-01-31,1279.64
1999-02-28,1238.33
1999-03-31,1286.37
1999-04-30,1335.18
1999-05-31,1301.84
1999-06-30,1372.71
1999-07-31,1328.72
1999-08-31,1320.41
1999-09-30,1282.71
1999-10-31,1362.93
1999-11-30,1388.91
1999-12-31,1469.25
2000-01-31,1394.46
2000-02-29,1366.42
2000-03-31,1498.58
2000-04-30,1452.43
2000-05-31,1420.6
2000-06-30,1454.6
2000-07-31,1430.83
2000-08-31,1517.68
2000-09-30,1436.51
2000-10-31,1429.4
2000-11-30,1314.95
2000-12-31,1320.28
2001-01-31,1366.01
2001-02-28,1239.94
2001-03-31,1160.33
2001-04-30,1249.46
2001-05-31,1255.82
2001-06-30,1224.42
2001-07-31,1211.23
2001-08-31,1133.58
2001-09-30,1040.94
2001-10-31,1059.78
2001-11-30,1139.45
2001-12-31,1148.08
2002-01-31,1130.21
2002-02-28,1106.73
2002-03-31,1147.39
2002-04-30,1076.92
2002-05-31,1067.14
2002-06-30,989.81
2002-07-31,911.62
2002-08-31,916.07
2002-09-30,815.28
2002-10-31,885.76
2002-11-30,936.31
2002-12-31,879.82
2003-01-31,855.7
2003-02-28,841.15
2003-03-31,848.18
2003-04-30,916.92
2003-05-31,963.59
2003-06-30,974.5
2003-07-31,990.31
2003-08-31,1008.01
2003-09-30,995.97
2003-10-31,1050.71
2003-11-30,1058.2
2003-12-31,1111.92
2004-01-31,1131.13
2004-02-29,1144.94
2004-03-31,1126.21
2004-04-30,1107.31
2004-05-31,1120.68
2004-06-30,1140.84
2004-07-31,1101.72
2004-08-31,1104.24
2004-09-30,1114.58
2004-10-31,1130.2
2004-11-30,1173.82
2004-12-31,1211.92
2005-01-31,1181.27
2005-02-28,1203.6
2005-03-31,1180.59
2005-04-30,1156.85
2005-05-31,1191.5
2005-06-30,1191.33
2005-07-31,1234.18
2005-08-31,1220.33
2005-09-30,1228.81
2005-10-31,1207.01
2005-11-30,1249.48
2005-12-31,1248.29
2006-01-31,1280.09
2006-02-28,1280.66
2006-03-31,1294.83
2006-04-30,1310.61
2006-05-31,1270.09
2006-06-30,1270.2
2006-07-31,1276.66
2006-08-31,1303.82
2006-09-30,1335.85
2006-10-31,1377.94
2006-11-30,1400.63
2006-12-31,1418.3
2007-01-31,1438.24
2007-02-28,1406.82
2007-03-31,1420.86
2007-04-30,1482.37
2007-05-31,1530.62
2007-06-30,1503.35
2007-07-31,1455.28
2007-08-31,1473.99
2007-09-30,1526.75
2007-10-31,1549.38
2007-11-30,1481.14
2007-12-31,1468.36
2008-01-31,1378.55
2008-02-29,1330.63
2008-03-31,1322.7
2008-04-30,1385.59
2008-05-31,1400.38
2008-06-30,1280.0
2008-07-31,1267.38
2008-08-31,1282.83
2008-09-30,1166.36
2008-10-31,968.75
2008-11-30,896.24
2008-12-31,903.25
2009-01-31,825.88
2009-02-28,735.09
2009-03-31,797.87
2009-04-30,872.81
2009-05-31,919.14
2009-06-30,919.32
2009-07-31,987.48
2009-08-31,1020.63
2009-09-30,1057.08
2009-10-31,1036.2
2009-11-30,1095.63
2009-12-31,1115.1
2010-01-31,1073.87
2010-02-28,1104.49
2010-03-31,1169.43
2010-04-30,1186.69
2010-05-31,1089.41
2010-06-30,1030.71
2010-07-31,1101.6
2010-08-31,1049.33
2010-09-30,1141.2
2010-10-31,1183.26
2010-11-30,1180.55
2010-12-31,1257.64
2011-01-31,1286.12
2011-02-28,1327.22
2011-03-31,1325.83
2011-04-30,1363.61
2011-05-31,1345.2
2011-06-30,1320.64
2011-07-31,1292.28
2011-08-31,1218.89
2011-09-30,1131.42
2011-10-31,1253.3
2011-11-30,1246.96
2011-12-31,1257.61
2012-01-31,1312.41
2012-02-29,1365.68
2012-03-31,1408.47
2012-04-30,1397.91
2012-05-31,1310.33
2012-06-30,1362.16
2012-07-31,1379.32
2012-08-31,1406.58
2012-09-30,1440.67
2012-10-31,1412.16
2012-11-30,1416.18
